age,income,account_balance,existing_loans,marital_status,employment_status,education_level,debt_to_income_ratio,home_ownership,employment_duration,loan_purpose,state,dependents,annual_expenses,applied_for_home_loan
34,128198,52682,0,Single,Self-Employed,Bachelor's,33.33,Own,13,Auto Loan,AZ,2,42730,1
52,57962,42746,4,Single,Employed,Bachelor's,24.58,Mortgage,24,Auto Loan,CA,1,30885,0
33,141604,53009,0,Single,Self-Employed,High School,41.23,Rent,6,Education,CA,1,58389,0
31,76350,81183,0,Married,Self-Employed,High School,33.03,Own,27,Home Loan,AZ,2,88245,1
57,62314,81535,3,Divorced,Unemployed,Bachelor's,20.63,Own,19,Education,FL,3,64820,0
25,82840,4322,2,Single,Self-Employed,High School,39.98,Own,17,Education,CA,1,24086,0
47,68402,35030,4,Married,Self-Employed,Bachelor's,14.19,Mortgage,12,Auto Loan,CA,0,33594,0
49,115949,88069,1,Single,Employed,Bachelor's,23.2,Rent,15,Personal,AZ,3,26896,1
42,143724,4953,2,Married,Self-Employed,Bachelor's,43.87,Own,8,Home Loan,CA,4,52596,0
41,66380,67866,0,Single,Self-Employed,High School,44.55,Own,19,Personal,AZ,0,29571,0
41,79259,23571,2,Single,Employed,Bachelor's,45.13,Rent,2,Personal,AZ,0,79390,0
25,71656,34261,3,Divorced,Employed,Bachelor's,43.22,Mortgage,2,Education,FL,1,48606,0
55,135478,14256,1,Single,Unemployed,High School,26.74,Own,13,Home Loan,FL,3,43861,0
34,40513,98686,2,Married,Self-Employed,Master's,49.12,Own,9,Education,CA,2,91154,0
29,143847,74248,4,Married,Self-Employed,High School,41.2,Mortgage,27,Education,AZ,0,40996,0
44,39158,72706,3,Single,Employed,High School,44.73,Rent,18,Auto Loan,FL,1,75110,0
32,100137,9765,1,Divorced,Self-Employed,Master's,22.94,Mortgage,13,Home Loan,CA,3,95410,0
46,58911,79279,0,Married,Unemployed,Master's,39.64,Own,8,Personal,CA,2,79043,0
33,122319,48744,0,Divorced,Self-Employed,High School,38.78,Own,11,Home Loan,FL,1,43554,1
26,121073,25543,2,Single,Employed,Master's,45.25,Rent,8,Education,CA,3,69985,0
52,68532,10420,3,Single,Self-Employed,Master's,49.85,Own,2,Education,FL,4,34247,0
33,49126,67947,1,Divorced,Employed,High School,10.7,Own,28,Auto Loan,CA,3,51089,0
42,121933,92822,0,Single,Self-Employed,Bachelor's,34.64,Own,6,Auto Loan,CA,0,42234,1
37,87844,89943,1,Single,Employed,High School,18.63,Rent,18,Auto Loan,FL,2,16361,1
46,110586,89276,0,Married,Self-Employed,Bachelor's,17.21,Rent,3,Personal,AZ,1,19031,1
32,116431,54807,0,Married,Self-Employed,High School,22.87,Own,8,Auto Loan,FL,2,26629,1
34,133665,89660,0,Married,Employed,High School,24.93,Own,2,Auto Loan,CA,1,33323,1
40,131368,46065,0,Divorced,Unemployed,Bachelor's,11.96,Own,15,Education,CA,4,21674,0
29,130468,55460,1,Divorced,Unemployed,Master's,47.35,Mortgage,4,Education,CA,3,75126,0
51,43815,93165,3,Divorced,Self-Employed,Bachelor's,28.19,Own,4,Home Loan,AZ,4,61332,0
54,51803,47354,1,Divorced,Unemployed,Bachelor's,32.63,Rent,18,Auto Loan,AZ,0,26043,0
46,83655,88801,0,Married,Employed,High School,30.66,Rent,15,Education,AZ,0,25645,1
46,30946,62637,3,Married,Self-Employed,Master's,22.59,Rent,28,Education,FL,2,42926,0
48,144443,66914,4,Married,Employed,High School,38.83,Mortgage,15,Education,FL,0,96360,0
30,111331,85201,1,Married,Unemployed,Master's,42.9,Mortgage,23,Personal,AZ,1,78119,0
56,42553,81332,4,Single,Self-Employed,High School,45.97,Own,18,Home Loan,FL,1,30596,0
36,66812,41868,0,Single,Employed,Master's,48.35,Own,18,Auto Loan,CA,1,32301,0
26,112239,76418,1,Single,Self-Employed,High School,22.12,Own,18,Home Loan,FL,4,45080,0
57,128951,68086,4,Divorced,Employed,High School,29.11,Rent,16,Auto Loan,CA,2,21937,0
51,43865,99767,4,Divorced,Employed,Master's,34.87,Mortgage,17,Auto Loan,AZ,2,55335,0
36,125089,59802,0,Married,Employed,Bachelor's,47.41,Own,5,Home Loan,AZ,0,59309,0
32,81937,49147,0,Single,Employed,Master's,35.66,Rent,5,Home Loan,AZ,3,29218,1
56,37364,11919,3,Divorced,Unemployed,Bachelor's,25.19,Own,8,Auto Loan,AZ,1,57934,0
43,53380,66602,2,Divorced,Unemployed,High School,19.75,Mortgage,9,Education,CA,2,66330,0
34,85948,39012,4,Divorced,Self-Employed,Master's,11.87,Mortgage,11,Home Loan,CA,4,73598,0
45,59416,13298,0,Married,Self-Employed,High School,26.04,Own,11,Auto Loan,FL,0,38093,0
46,67611,16922,0,Married,Employed,Master's,17.84,Rent,16,Auto Loan,FL,3,12060,1
37,114620,88485,1,Married,Employed,Master's,29.9,Own,5,Home Loan,CA,0,34274,1
46,47739,38049,1,Single,Employed,Master's,13.84,Own,11,Personal,AZ,2,72911,0
37,42154,47490,2,Divorced,Employed,High School,18.43,Rent,4,Home Loan,FL,2,37622,0
33,67268,38209,4,Divorced,Unemployed,High School,30.27,Own,4,Home Loan,CA,2,60270,0
25,131894,80702,0,Single,Employed,High School,45.17,Own,13,Education,FL,0,57109,0
53,149282,54832,0,Married,Employed,Bachelor's,39.37,Mortgage,15,Personal,CA,0,65103,0
45,30073,85404,1,Married,Employed,High School,16.38,Mortgage,10,Home Loan,CA,4,39901,0
28,79459,34511,0,Single,Self-Employed,Master's,46.54,Rent,26,Auto Loan,AZ,0,23201,0
49,54911,38471,1,Divorced,Employed,Bachelor's,24.03,Own,9,Home Loan,CA,1,31279,0
46,42633,82736,4,Married,Unemployed,High School,42.21,Rent,26,Home Loan,AZ,2,32121,0
44,94473,87857,1,Single,Employed,High School,24.29,Rent,17,Personal,FL,2,31458,1
39,110007,69027,0,Single,Self-Employed,Master's,16.28,Rent,4,Education,AZ,4,17906,1
27,73526,13751,0,Divorced,Self-Employed,High School,12.01,Mortgage,24,Education,FL,0,79830,0
42,131953,65855,3,Single,Unemployed,Master's,20.95,Rent,25,Home Loan,AZ,2,55313,0
51,142808,54833,2,Single,Unemployed,Bachelor's,19.52,Rent,4,Education,CA,0,36928,0
37,88778,87881,0,Married,Employed,High School,14.88,Rent,16,Education,CA,4,13211,1
39,90330,96206,0,Single,Self-Employed,High School,38.07,Rent,6,Auto Loan,AZ,2,34392,1
56,50203,66030,2,Single,Self-Employed,Master's,28.99,Own,23,Home Loan,FL,4,96339,0
33,49865,73819,0,Single,Employed,High School,11.04,Own,8,Home Loan,FL,1,42443,0
41,47326,80088,3,Divorced,Self-Employed,Bachelor's,23.99,Own,0,Personal,FL,2,45968,0
53,70160,92041,0,Single,Unemployed,Bachelor's,45.87,Own,27,Home Loan,AZ,2,99198,0
54,99477,86494,4,Single,Self-Employed,Master's,13.52,Rent,19,Home Loan,CA,2,94845,0
53,136004,6846,1,Married,Self-Employed,Bachelor's,12.85,Rent,0,Personal,FL,1,74995,0
42,59600,63394,0,Divorced,Self-Employed,Master's,35.56,Mortgage,22,Personal,FL,3,96683,0
35,54565,31382,4,Single,Employed,Master's,25.52,Rent,4,Education,CA,3,43094,0
40,115201,12253,0,Divorced,Self-Employed,Master's,13.92,Rent,24,Home Loan,CA,3,39761,0
37,66410,30021,3,Married,Employed,High School,25.56,Own,17,Home Loan,CA,2,63606,0
43,76020,81323,4,Divorced,Unemployed,Master's,46.03,Own,7,Auto Loan,AZ,1,91379,0
51,52769,76147,1,Divorced,Unemployed,High School,12.4,Mortgage,23,Auto Loan,FL,4,50778,0
31,116555,92100,4,Divorced,Employed,Master's,39.72,Own,10,Education,CA,4,64979,0
42,80555,78720,1,Single,Self-Employed,Master's,17.49,Rent,22,Personal,CA,1,14087,1
42,34978,10433,2,Married,Unemployed,Bachelor's,13.62,Mortgage,9,Personal,CA,3,46633,0
37,124540,86742,4,Single,Employed,High School,10.39,Mortgage,22,Education,CA,3,20955,0
58,37047,76145,1,Divorced,Employed,Bachelor's,21.89,Mortgage,6,Personal,AZ,0,45442,0
51,58672,5982,0,Divorced,Unemployed,Bachelor's,29.43,Rent,22,Auto Loan,FL,0,72198,0
32,54067,23400,1,Divorced,Employed,Master's,20.02,Rent,24,Home Loan,CA,4,63611,0
45,49583,46217,2,Single,Employed,High School,34.46,Rent,14,Home Loan,FL,2,36946,0
25,146267,71264,1,Single,Self-Employed,High School,20.77,Mortgage,10,Auto Loan,FL,0,82364,0
41,132052,85919,0,Married,Employed,High School,45.42,Own,9,Personal,FL,1,59976,0
42,118898,46582,1,Married,Employed,Bachelor's,36.17,Own,7,Education,AZ,1,43007,1
31,94512,84742,0,Single,Self-Employed,Bachelor's,15.3,Own,6,Education,CA,0,14460,1
50,95977,93795,4,Divorced,Unemployed,Master's,44.83,Own,0,Auto Loan,FL,1,60000,0
56,52906,88668,3,Divorced,Self-Employed,Master's,37.05,Rent,6,Home Loan,AZ,0,58506,0
46,88886,3409,2,Single,Employed,Master's,27.76,Mortgage,16,Home Loan,AZ,1,80262,0
42,49573,41147,1,Married,Employed,Master's,10.4,Rent,7,Personal,FL,1,81413,0
57,117997,19504,4,Divorced,Unemployed,Bachelor's,35.41,Rent,0,Personal,AZ,1,88395,0
38,78979,19985,1,Married,Self-Employed,Master's,31.23,Rent,20,Education,FL,2,95354,1
40,42535,59480,1,Divorced,Self-Employed,High School,30.4,Rent,19,Personal,CA,2,41305,0
57,43198,75011,4,Divorced,Employed,High School,21.19,Rent,11,Personal,FL,3,37636,0
52,70139,3223,1,Divorced,Self-Employed,Master's,33.81,Mortgage,15,Personal,CA,1,50033,0
46,144636,83684,1,Married,Employed,High School,42.91,Own,24,Home Loan,CA,1,62059,0
26,138070,75122,4,Divorced,Unemployed,Master's,39.04,Rent,7,Auto Loan,AZ,1,59305,0
49,146746,90259,4,Divorced,Employed,Bachelor's,46.85,Rent,11,Home Loan,AZ,4,99243,0
35,56333,68627,0,Divorced,Employed,Bachelor's,15.74,Own,27,Personal,FL,3,94655,0
32,68543,30472,1,Married,Self-Employed,High School,31.56,Own,14,Personal,FL,4,21629,1
47,87501,84543,1,Single,Self-Employed,Bachelor's,36.78,Own,24,Personal,FL,4,32185,1
36,99844,45631,0,Single,Employed,High School,20.0,Own,9,Education,FL,4,70906,1
50,90583,46762,0,Divorced,Employed,High School,10.71,Rent,18,Home Loan,CA,0,93780,1
54,62734,96720,0,Single,Unemployed,Master's,24.63,Rent,25,Personal,CA,0,97669,0
36,135298,48803,0,Married,Employed,High School,38.71,Own,6,Auto Loan,FL,2,52369,1
28,130070,32098,3,Single,Unemployed,High School,12.53,Own,4,Education,CA,3,89478,0
42,129639,85745,4,Married,Employed,High School,24.62,Mortgage,2,Auto Loan,FL,2,34970,0
26,86317,68967,4,Divorced,Employed,Master's,34.94,Own,24,Home Loan,CA,3,55237,0
43,111692,87689,1,Divorced,Employed,Bachelor's,17.32,Mortgage,22,Home Loan,CA,3,29005,1
35,108821,45968,1,Married,Employed,Master's,47.69,Own,2,Education,CA,1,51894,0
50,124897,1050,4,Married,Unemployed,High School,29.06,Rent,1,Personal,AZ,0,58908,0
45,87529,69962,1,Single,Employed,Bachelor's,15.42,Rent,4,Auto Loan,CA,1,13497,1
31,48837,17643,0,Single,Self-Employed,Master's,15.55,Own,5,Home Loan,FL,4,92558,0
43,91736,12984,3,Single,Unemployed,Master's,34.44,Mortgage,24,Personal,AZ,2,42536,0
34,135150,75041,0,Married,Self-Employed,Master's,20.52,Own,15,Home Loan,FL,4,27737,1
30,100773,78057,0,Single,Employed,High School,16.77,Rent,4,Auto Loan,CA,4,16895,1
29,67310,48473,2,Single,Self-Employed,High School,45.82,Mortgage,19,Personal,CA,1,95384,0
48,131853,38956,2,Single,Employed,Bachelor's,40.9,Mortgage,0,Home Loan,FL,0,38899,0
58,78467,95273,3,Married,Unemployed,Master's,26.51,Rent,4,Auto Loan,AZ,1,32792,0
44,130092,45909,0,Married,Employed,High School,24.9,Rent,10,Home Loan,FL,4,32391,1
34,130510,29916,0,Married,Employed,High School,31.38,Own,12,Home Loan,CA,0,40950,1
38,67942,84140,3,Single,Self-Employed,Master's,10.15,Rent,0,Education,AZ,4,37923,0
30,131862,17291,0,Single,Employed,Bachelor's,28.32,Own,12,Education,AZ,4,37342,1
34,86190,52847,0,Married,Employed,Bachelor's,14.6,Own,3,Auto Loan,AZ,4,12588,1
30,123114,16671,0,Married,Employed,Bachelor's,29.34,Rent,12,Home Loan,FL,4,36116,1
31,81742,34861,0,Divorced,Employed,Master's,35.2,Rent,23,Auto Loan,AZ,4,42456,1
39,77977,45466,3,Single,Employed,Bachelor's,11.97,Mortgage,16,Auto Loan,FL,2,67981,0
34,138186,87771,1,Single,Employed,High School,14.0,Rent,12,Education,FL,1,19349,1
53,70367,476,4,Divorced,Employed,Bachelor's,15.54,Mortgage,20,Auto Loan,AZ,3,54515,0
33,74207,45772,0,Single,Self-Employed,High School,27.51,Own,8,Education,AZ,0,20416,1
34,67245,17583,1,Single,Unemployed,Master's,38.49,Rent,25,Education,CA,3,45015,0
35,130095,54867,1,Single,Self-Employed,High School,22.13,Rent,14,Education,AZ,1,28794,1
30,144930,89962,1,Single,Self-Employed,High School,20.43,Own,11,Home Loan,FL,0,29602,1
43,69270,56780,3,Single,Employed,Master's,28.9,Mortgage,29,Personal,FL,4,69649,0
50,38168,68606,4,Single,Self-Employed,High School,48.81,Mortgage,29,Auto Loan,CA,2,86623,0
43,134750,88125,1,Single,Employed,High School,49.18,Own,14,Education,AZ,0,66270,0
42,82059,42149,1,Single,Self-Employed,Bachelor's,47.6,Own,14,Auto Loan,CA,2,39063,0
32,106530,25149,0,Married,Unemployed,Bachelor's,28.02,Rent,3,Auto Loan,AZ,3,77215,0
35,80686,8183,0,Married,Self-Employed,High School,16.97,Mortgage,4,Auto Loan,FL,1,92268,0
34,74188,33175,0,Single,Unemployed,Master's,37.67,Rent,19,Auto Loan,CA,3,90566,0
55,41230,43595,2,Divorced,Employed,High School,34.94,Own,8,Personal,CA,0,99508,0
41,122303,91661,3,Divorced,Unemployed,Bachelor's,13.99,Mortgage,27,Education,FL,4,96593,0
49,82651,97931,0,Single,Employed,Bachelor's,42.15,Own,17,Personal,CA,1,34834,0
30,126173,58903,0,Married,Employed,Master's,36.82,Rent,8,Home Loan,AZ,1,46462,1
28,138575,92488,0,Single,Employed,Bachelor's,29.93,Mortgage,21,Personal,AZ,0,21649,0
35,80955,60701,0,Married,Self-Employed,Bachelor's,40.54,Mortgage,29,Personal,AZ,1,96427,0
35,98502,78841,2,Divorced,Employed,High School,29.19,Mortgage,28,Education,FL,4,28580,0
58,68460,32702,2,Single,Self-Employed,High School,27.79,Mortgage,28,Education,FL,0,39641,0
27,38206,54054,2,Married,Employed,High School,16.3,Mortgage,28,Home Loan,AZ,1,34333,0
45,92785,36417,2,Single,Unemployed,High School,33.23,Rent,19,Auto Loan,FL,1,62235,0
52,41127,60130,3,Married,Unemployed,High School,34.7,Rent,14,Home Loan,AZ,0,80183,0
40,85078,9150,0,Single,Unemployed,Master's,27.78,Rent,10,Personal,CA,1,51296,0
51,89062,3652,4,Married,Unemployed,Master's,35.75,Own,13,Auto Loan,CA,4,85082,0
42,125273,90810,1,Married,Employed,Bachelor's,29.0,Mortgage,0,Auto Loan,AZ,4,35381,1
40,143275,43986,1,Single,Self-Employed,High School,14.96,Rent,6,Auto Loan,AZ,2,21433,1
37,82642,34094,4,Divorced,Self-Employed,High School,11.46,Mortgage,24,Home Loan,CA,2,63566,0
52,35762,10745,3,Single,Employed,High School,23.72,Own,19,Home Loan,CA,0,91153,0
30,131498,25609,1,Married,Employed,High School,17.29,Rent,11,Education,FL,4,22732,1
38,144770,73800,2,Married,Self-Employed,High School,46.2,Rent,29,Personal,AZ,3,87724,0
32,88947,38393,0,Married,Employed,Master's,18.89,Rent,11,Personal,AZ,4,16804,1
34,107854,42554,1,Married,Self-Employed,High School,11.15,Mortgage,23,Personal,FL,0,53062,1
37,103454,90789,0,Single,Unemployed,Bachelor's,15.76,Rent,18,Auto Loan,FL,4,84214,0
48,145601,74334,0,Married,Employed,Bachelor's,11.69,Own,20,Personal,FL,3,17023,1
33,32323,69253,2,Married,Unemployed,Bachelor's,38.17,Mortgage,27,Auto Loan,CA,4,72936,0
39,139708,41490,1,Single,Employed,Bachelor's,25.67,Rent,9,Home Loan,AZ,2,35860,1
40,86183,32440,0,Single,Employed,Bachelor's,38.24,Own,4,Education,FL,1,32953,1
39,134462,93241,1,Divorced,Employed,Master's,18.01,Own,20,Personal,CA,3,27776,1
41,126753,23057,0,Single,Employed,Master's,11.32,Own,28,Home Loan,CA,3,61840,1
44,128160,33852,0,Single,Self-Employed,Master's,33.83,Own,7,Auto Loan,CA,2,36926,1
25,121421,6034,2,Married,Unemployed,High School,31.16,Mortgage,11,Home Loan,FL,4,43775,0
58,117386,318,4,Married,Self-Employed,High School,39.87,Mortgage,5,Education,AZ,3,60863,0
32,91274,47056,3,Divorced,Self-Employed,High School,13.46,Rent,20,Education,FL,1,43442,0
33,139219,37217,1,Single,Unemployed,Bachelor's,31.9,Rent,9,Home Loan,FL,0,27483,0
34,66460,98152,1,Married,Employed,High School,48.58,Rent,7,Education,FL,0,32289,0
47,131365,39377,1,Single,Self-Employed,Master's,21.8,Own,17,Home Loan,CA,3,28639,1
31,147650,97043,2,Single,Unemployed,High School,36.27,Own,21,Education,FL,2,98545,0
40,78591,95654,1,Married,Self-Employed,High School,16.64,Own,9,Home Loan,FL,1,13076,1
40,33648,9407,1,Married,Unemployed,Bachelor's,15.64,Mortgage,3,Education,FL,4,24151,0
25,103337,75171,0,Married,Employed,Bachelor's,36.27,Own,25,Personal,CA,1,22539,0
39,137819,24199,1,Married,Self-Employed,High School,28.05,Rent,17,Personal,CA,3,38664,1
38,60989,27284,4,Divorced,Self-Employed,Bachelor's,35.98,Rent,7,Home Loan,CA,2,95013,0
37,41395,43148,0,Divorced,Employed,Master's,29.8,Own,20,Education,CA,3,32589,0
49,113475,87708,3,Divorced,Unemployed,Master's,11.82,Rent,12,Personal,FL,4,57635,0
27,38266,20871,2,Divorced,Self-Employed,Master's,44.87,Own,20,Personal,FL,3,37609,0
51,84092,99682,4,Married,Self-Employed,High School,14.33,Own,24,Personal,FL,1,34159,0
38,49451,57967,2,Single,Self-Employed,Bachelor's,12.96,Mortgage,4,Education,AZ,1,44334,0
36,76270,738,1,Married,Self-Employed,Bachelor's,23.79,Mortgage,16,Auto Loan,FL,3,31703,0
33,36741,39048,3,Single,Employed,High School,38.47,Own,11,Home Loan,CA,2,99323,0
34,42099,35730,4,Single,Self-Employed,Master's,37.61,Mortgage,21,Home Loan,AZ,4,91787,0
43,124413,30106,3,Married,Self-Employed,High School,43.54,Rent,2,Home Loan,FL,2,82667,0
45,63422,73102,3,Single,Employed,Bachelor's,46.7,Rent,19,Home Loan,CA,1,84737,0
54,99356,79616,2,Single,Self-Employed,Bachelor's,25.51,Own,8,Auto Loan,FL,1,65625,0
47,145528,10170,0,Divorced,Unemployed,High School,12.39,Own,20,Auto Loan,CA,2,30389,0
39,122710,93715,1,Single,Employed,Bachelor's,49.22,Rent,7,Personal,CA,4,60400,0
27,67302,60854,2,Divorced,Employed,Master's,29.46,Own,29,Home Loan,CA,4,71411,0
34,134752,46786,1,Married,Self-Employed,High School,47.13,Own,9,Education,FL,0,63512,0
37,96771,47831,0,Single,Self-Employed,Bachelor's,35.83,Own,13,Auto Loan,FL,1,34673,1
26,87879,45498,4,Single,Unemployed,Master's,40.99,Own,12,Education,FL,1,72044,0
37,38227,42434,3,Married,Self-Employed,Master's,35.28,Rent,7,Personal,CA,3,65364,0
44,80908,59299,1,Divorced,Self-Employed,Bachelor's,42.36,Mortgage,21,Auto Loan,AZ,0,21686,0
28,71653,5340,2,Married,Self-Employed,High School,13.15,Own,23,Auto Loan,AZ,0,37734,0
43,116116,36881,1,Married,Self-Employed,Master's,22.42,Rent,6,Personal,CA,4,37123,1
43,85949,59876,0,Single,Employed,High School,37.92,Own,1,Education,AZ,1,21686,1
35,104069,5660,0,Single,Employed,Master's,20.95,Own,1,Home Loan,FL,3,28303,0
30,40454,83958,2,Single,Unemployed,Bachelor's,28.11,Mortgage,18,Education,AZ,1,52503,0
44,98433,75836,4,Single,Self-Employed,Bachelor's,17.35,Mortgage,9,Home Loan,CA,1,73831,0
47,114971,49335,4,Divorced,Unemployed,Master's,27.64,Own,12,Home Loan,AZ,1,87898,0
38,114815,55389,0,Single,Employed,Master's,19.88,Own,4,Personal,FL,3,78910,1
52,65143,19945,4,Divorced,Self-Employed,Bachelor's,29.83,Own,10,Personal,AZ,0,76473,0
27,91054,43654,0,Married,Unemployed,Master's,48.14,Mortgage,7,Home Loan,CA,2,70792,0
53,122388,33020,4,Single,Self-Employed,Master's,35.33,Own,20,Auto Loan,CA,4,20290,0
41,110253,8720,0,Divorced,Self-Employed,High School,15.33,Own,24,Auto Loan,FL,3,58054,0
45,144227,34693,0,Married,Self-Employed,Master's,22.36,Rent,26,Auto Loan,AZ,2,32244,1
26,54563,86648,0,Married,Self-Employed,Master's,42.23,Mortgage,2,Auto Loan,CA,3,62087,0
45,113869,33489,1,Married,Self-Employed,Bachelor's,22.37,Own,21,Education,AZ,2,25468,1
33,34079,87780,4,Married,Employed,Master's,30.16,Mortgage,12,Home Loan,FL,0,90864,0
46,54782,56139,4,Single,Self-Employed,Master's,49.36,Own,27,Education,AZ,3,93168,0
28,63134,52948,4,Divorced,Self-Employed,High School,44.27,Mortgage,27,Home Loan,FL,4,28037,0
37,81857,84109,0,Married,Employed,High School,14.25,Own,20,Home Loan,CA,2,97483,1
28,38772,39059,0,Divorced,Self-Employed,Master's,44.26,Mortgage,26,Personal,CA,2,46054,0
56,50161,99646,4,Single,Unemployed,Bachelor's,14.44,Own,14,Auto Loan,FL,2,30670,0
41,64986,93153,2,Married,Self-Employed,High School,25.51,Own,20,Education,AZ,1,91481,0
47,69983,75979,1,Married,Employed,Bachelor's,28.53,Own,18,Education,CA,2,19967,1
49,122200,39104,2,Single,Employed,High School,38.52,Mortgage,17,Education,AZ,3,54315,0
30,131916,20610,1,Married,Employed,Bachelor's,22.98,Rent,3,Auto Loan,AZ,1,30310,1
49,61715,79938,0,Single,Employed,Master's,48.34,Own,22,Home Loan,AZ,3,29830,0
41,134591,89532,0,Married,Self-Employed,Bachelor's,14.75,Rent,12,Education,FL,1,19850,1
55,125646,70697,0,Divorced,Self-Employed,Master's,11.99,Mortgage,8,Personal,AZ,4,43446,0
35,35132,28948,0,Single,Employed,High School,15.5,Rent,9,Auto Loan,CA,3,90160,0
38,84424,26169,0,Divorced,Employed,Bachelor's,11.33,Rent,17,Auto Loan,AZ,1,62099,1
33,127617,65427,1,Divorced,Employed,Bachelor's,30.81,Own,23,Auto Loan,FL,4,38536,1
32,101465,97161,0,Married,Unemployed,Bachelor's,13.99,Rent,16,Auto Loan,CA,4,95620,0
58,45888,902,3,Married,Unemployed,Bachelor's,37.35,Own,15,Personal,FL,3,79551,0
27,40048,96822,4,Single,Self-Employed,Master's,35.57,Own,27,Auto Loan,AZ,0,36343,0
31,124120,60725,1,Single,Employed,Bachelor's,41.18,Rent,2,Education,FL,0,51114,0
37,96450,33137,4,Divorced,Employed,High School,34.61,Own,29,Personal,FL,2,44415,0
33,140421,40912,0,Married,Self-Employed,Bachelor's,35.8,Own,9,Auto Loan,AZ,4,50266,1
55,128026,45083,0,Single,Employed,Bachelor's,22.43,Rent,29,Home Loan,CA,3,76917,0
40,81626,53380,1,Married,Self-Employed,Master's,48.46,Rent,12,Auto Loan,CA,2,39560,0
58,102532,40893,1,Single,Unemployed,High School,25.65,Mortgage,21,Auto Loan,AZ,2,65088,0
30,144991,96887,1,Married,Employed,Bachelor's,17.55,Rent,7,Home Loan,CA,4,25446,1
55,132262,86462,2,Married,Employed,Master's,30.33,Mortgage,28,Education,FL,4,74620,0
54,80252,14037,1,Divorced,Self-Employed,Bachelor's,40.43,Own,6,Auto Loan,FL,0,84893,0
30,140011,50597,1,Single,Employed,Bachelor's,35.4,Own,9,Auto Loan,AZ,1,49562,1
30,51189,42070,3,Divorced,Unemployed,High School,31.01,Rent,16,Auto Loan,FL,2,84190,0
50,79050,41422,2,Married,Self-Employed,Master's,41.36,Rent,27,Personal,CA,1,57704,0
51,138989,74605,2,Single,Self-Employed,Master's,26.99,Rent,4,Personal,AZ,3,81073,0
58,41438,75931,2,Single,Employed,Master's,32.43,Rent,17,Home Loan,FL,3,52447,0
45,117217,42203,0,Married,Employed,Master's,31.84,Own,17,Personal,FL,2,37320,1
39,110354,99209,3,Divorced,Unemployed,Bachelor's,43.99,Own,8,Auto Loan,AZ,1,64150,0
52,137207,61988,0,Single,Unemployed,High School,38.48,Own,17,Home Loan,AZ,4,86940,0
31,116245,23061,2,Single,Unemployed,Master's,19.58,Own,16,Education,CA,0,77613,0
57,84143,2168,4,Single,Employed,Bachelor's,45.28,Mortgage,8,Home Loan,AZ,3,87710,0
57,38868,12273,0,Married,Self-Employed,High School,26.67,Own,13,Education,CA,0,65859,0
31,83640,31797,0,Single,Self-Employed,High School,19.52,Rent,7,Home Loan,AZ,4,16327,1
37,34523,74512,2,Married,Self-Employed,High School,35.68,Mortgage,16,Personal,FL,2,25935,0
29,88780,67717,0,Married,Employed,Master's,47.28,Mortgage,24,Education,AZ,4,93334,0
28,89398,2424,0,Single,Unemployed,Bachelor's,46.88,Mortgage,29,Education,AZ,1,81766,0
39,143401,87479,0,Married,Self-Employed,High School,28.72,Rent,3,Education,AZ,2,41188,1
45,106401,59286,0,Single,Employed,Bachelor's,11.38,Own,17,Education,FL,4,12110,1
52,96345,22559,3,Single,Self-Employed,High School,30.92,Mortgage,1,Personal,AZ,4,87353,0
46,31640,61403,1,Married,Self-Employed,Master's,27.62,Mortgage,1,Personal,FL,1,85032,0
32,77323,22311,0,Married,Self-Employed,Bachelor's,46.36,Own,14,Education,AZ,1,35850,0
42,142489,88693,1,Married,Employed,Bachelor's,42.0,Rent,16,Home Loan,AZ,1,59845,0
57,33508,44660,3,Single,Employed,High School,26.26,Own,21,Education,CA,3,42672,0
35,73249,54218,1,Married,Self-Employed,Bachelor's,39.41,Own,7,Home Loan,CA,3,28869,1
40,81939,22979,0,Married,Self-Employed,Bachelor's,41.97,Rent,8,Personal,FL,3,34388,0
38,48444,63853,1,Single,Self-Employed,Bachelor's,46.35,Own,10,Home Loan,CA,2,68767,0
55,43928,25136,3,Married,Self-Employed,Bachelor's,11.14,Rent,11,Personal,AZ,0,38371,0
33,131663,56811,0,Single,Self-Employed,Bachelor's,39.6,Rent,16,Education,CA,1,37607,1
31,48140,62443,0,Single,Employed,Bachelor's,14.93,Mortgage,2,Auto Loan,FL,1,67082,0
41,37730,80433,4,Married,Employed,High School,28.3,Mortgage,3,Personal,CA,0,90738,0
30,105440,64388,1,Single,Self-Employed,Master's,24.63,Own,4,Home Loan,CA,3,25970,1
45,126626,77314,0,Single,Self-Employed,High School,18.24,Own,23,Home Loan,CA,2,23097,1
40,83245,86226,1,Single,Employed,Master's,19.47,Own,8,Personal,FL,3,16210,1
31,139466,80105,3,Single,Employed,Master's,35.41,Mortgage,3,Education,CA,3,68622,0
47,94280,20947,1,Married,Employed,High School,28.44,Own,15,Personal,FL,1,26813,1
56,52455,8162,3,Single,Unemployed,High School,14.77,Rent,22,Home Loan,FL,3,62913,0
48,132273,26334,0,Single,Self-Employed,Bachelor's,20.43,Own,24,Personal,CA,1,27019,1
38,134288,85137,0,Married,Employed,High School,15.17,Rent,9,Education,AZ,1,20374,1
46,84585,28432,1,Married,Self-Employed,High School,30.62,Own,19,Education,CA,1,25902,1
